rank,model,n_subjects,MAE (bpm),RMSE (bpm),MAPE (%),Pearson,SNR (dB)
1,UBFC-rPPG_FactorizePhys,60,3.07 +/- 0.54,5.16 +/- 3.20,3.61 +/- 0.60,0.94 +/- 0.04,-1.79 +/- 0.42
2,iBVP_FactorizePhys,60,3.54 +/- 0.90,7.81 +/- 6.55,3.94 +/- 0.82,0.87 +/- 0.07,-1.12 +/- 0.48
3,PURE_FactorizePhys,60,3.82 +/- 0.79,7.22 +/- 4.46,4.37 +/- 0.84,0.89 +/- 0.06,-1.63 +/- 0.44
4,UBFC-rPPG_PhysFormer,60,4.26 +/- 0.67,6.74 +/- 3.73,5.05 +/- 0.77,0.90 +/- 0.06,-2.64 +/- 0.38
5,SCAMPS_FactorizePhys,60,4.43 +/- 0.90,8.27 +/- 5.73,4.94 +/- 0.86,0.85 +/- 0.07,-3.38 +/- 0.33
6,UBFC-rPPG_PhysNet,60,4.99 +/- 0.90,8.59 +/- 5.24,5.80 +/- 0.94,0.83 +/- 0.07,-4.27 +/- 0.29
7,UBFC-rPPG_PhysMamba,60,5.70 +/- 1.26,11.27 +/- 7.63,6.12 +/- 1.14,0.71 +/- 0.09,-3.70 +/- 0.34
8,PURE_PhysMamba,60,7.61 +/- 1.45,13.59 +/- 7.91,8.19 +/- 1.36,0.60 +/- 0.11,-4.57 +/- 0.37
9,MA-UBFC_efficientphys,60,9.87 +/- 2.25,20.04 +/- 11.36,10.10 +/- 2.11,0.23 +/- 0.13,-3.41 +/- 0.48
10,BP4D_PseudoLabel_PhysNet,60,10.33 +/- 2.15,19.58 +/- 12.60,12.66 +/- 2.91,0.37 +/- 0.12,-4.09 +/- 0.36
11,UBFC-rPPG_TSCAN,60,11.16 +/- 2.04,19.33 +/- 10.23,12.13 +/- 1.99,0.39 +/- 0.12,-4.59 +/- 0.41
12,MA-UBFC_physnet,60,10.13 +/- 1.77,17.06 +/- 9.17,13.06 +/- 2.41,0.32 +/- 0.12,-5.14 +/- 0.25
13,UBFC-rPPG_EfficientPhys,60,11.52 +/- 2.21,20.62 +/- 11.26,12.19 +/- 2.10,0.27 +/- 0.13,-4.41 +/- 0.45
14,BP4D_PseudoLabel_EfficientPhys,60,10.40 +/- 2.33,20.86 +/- 11.98,10.57 +/- 2.14,0.14 +/- 0.13,-3.91 +/- 0.52
15,PURE_PhysFormer,60,11.82 +/- 2.49,22.61 +/- 13.72,14.16 +/- 3.46,0.46 +/- 0.12,-4.81 +/- 0.37
16,PURE_iBVPNet,60,13.29 +/- 2.35,22.56 +/- 10.89,13.61 +/- 2.22,0.06 +/- 0.13,-3.59 +/- 0.60
17,UBFC-rPPG_RhythmFormer,60,13.78 +/- 1.85,19.87 +/- 9.20,15.75 +/- 2.04,0.20 +/- 0.13,-4.84 +/- 0.54
18,PURE_TSCAN,60,13.58 +/- 1.94,20.28 +/- 9.90,15.86 +/- 2.10,0.30 +/- 0.13,-6.37 +/- 0.26
19,iBVP_EfficientPhys,60,14.11 +/- 2.69,25.19 +/- 13.36,14.48 +/- 2.53,0.11 +/- 0.13,-5.01 +/- 0.40
20,PURE_EfficientPhys,60,16.11 +/- 3.07,28.71 +/- 15.13,16.82 +/- 3.04,0.20 +/- 0.13,-4.56 +/- 0.44
21,SCAMPS_EfficientPhys,60,13.49 +/- 1.27,16.70 +/- 6.63,16.82 +/- 1.75,-0.14 +/- 0.13,-7.16 +/- 0.53
22,PURE_PhysNet,60,18.09 +/- 2.18,24.77 +/- 11.36,19.79 +/- 2.15,0.14 +/- 0.13,-6.86 +/- 0.29
23,MA-UBFC_tscan,60,20.29 +/- 2.26,26.79 +/- 11.50,22.53 +/- 2.26,0.24 +/- 0.13,-6.86 +/- 0.38
24,SCAMPS_PhysFormer,60,18.84 +/- 1.68,22.89 +/- 8.56,23.79 +/- 2.28,0.19 +/- 0.13,-7.46 +/- 0.19
25,SCAMPS_DeepPhys,60,18.40 +/- 2.75,28.15 +/- 12.94,19.36 +/- 2.63,-0.08 +/- 0.13,-5.37 +/- 0.44
26,SCAMPS_PhysNet,60,22.53 +/- 1.81,26.52 +/- 9.69,28.21 +/- 2.43,0.35 +/- 0.12,-7.31 +/- 0.14
27,UBFC-rPPG_DeepPhys,60,19.56 +/- 2.57,27.93 +/- 12.02,21.10 +/- 2.53,-0.01 +/- 0.13,-5.67 +/- 0.48
28,SCAMPS_TSCAN,60,19.40 +/- 2.25,26.06 +/- 11.55,21.57 +/- 2.34,0.02 +/- 0.13,-7.08 +/- 0.31
29,BP4D_PseudoLabel_TSCAN,60,18.46 +/- 2.59,27.24 +/- 15.48,22.58 +/- 3.15,0.07 +/- 0.13,-7.38 +/- 0.44
30,BigSmall (BP4D_BigSmall_Multitask_Fold1),60,41.90 +/- 3.61,50.38 +/- 16.52,49.33 +/- 4.71,0.31 +/- 0.12,-6.52 +/- 0.44
31,MA-UBFC_deepphys,60,21.70 +/- 2.27,27.94 +/- 11.28,24.00 +/- 2.19,0.08 +/- 0.13,-6.88 +/- 0.41
32,BP4D_PseudoLabel_DeepPhys,60,23.38 +/- 2.34,29.56 +/- 11.17,26.01 +/- 2.35,0.18 +/- 0.13,-7.18 +/- 0.40
33,PURE_RhythmFormer,60,23.69 +/- 1.91,27.93 +/- 10.53,26.14 +/- 1.69,0.17 +/- 0.13,-8.07 +/- 0.46
34,PURE_DeepPhys,60,25.08 +/- 2.42,31.29 +/- 12.70,27.49 +/- 2.23,-0.22 +/- 0.13,-7.81 +/- 0.39
