rank,model,n_subjects,MAE (bpm),RMSE (bpm),MAPE (%),Pearson,SNR (dB)
1,UBFC-rPPG_RhythmFormer,5,1.96 +/- 0.41,2.16 +/- 1.3,2.79 +/- 0.57,0.98 +/- 0.11,4.98 +/- 0.87
2,iBVP_FactorizePhys,5,1.96 +/- 0.41,2.16 +/- 1.3,2.79 +/- 0.57,0.98 +/- 0.11,6.41 +/- 1.35
3,UBFC-rPPG_FactorizePhys,5,1.96 +/- 0.41,2.16 +/- 1.3,2.79 +/- 0.57,0.98 +/- 0.11,4.89 +/- 1.04
4,PURE_iBVPNet,5,1.96 +/- 0.41,2.16 +/- 1.3,2.79 +/- 0.57,0.98 +/- 0.11,4.68 +/- 1.29
5,PURE_FactorizePhys,5,2.04 +/- 0.37,2.2 +/- 1.27,2.9 +/- 0.52,0.98 +/- 0.11,5.52 +/- 1.16
6,PURE_PhysNet,5,1.96 +/- 0.32,2.08 +/- 1.14,2.79 +/- 0.48,0.98 +/- 0.11,-0.43 +/- 0.91
7,UBFC-rPPG_PhysMamba,5,2.04 +/- 0.37,2.2 +/- 1.27,2.9 +/- 0.52,0.98 +/- 0.11,2.1 +/- 0.54
8,PURE_EfficientPhys,5,2.04 +/- 0.37,2.2 +/- 1.27,2.9 +/- 0.52,0.98 +/- 0.11,2.05 +/- 0.83
9,PURE_PhysMamba,5,2.04 +/- 0.37,2.2 +/- 1.27,2.9 +/- 0.52,0.98 +/- 0.11,1.71 +/- 0.93
10,UBFC-rPPG_PhysNet,5,1.96 +/- 0.41,2.16 +/- 1.3,2.79 +/- 0.57,0.98 +/- 0.11,0.34 +/- 0.46
11,SCAMPS_DeepPhys,5,2.13 +/- 0.43,2.34 +/- 1.43,3.0 +/- 0.56,0.98 +/- 0.12,2.23 +/- 1.16
12,PURE_TSCAN,5,2.22 +/- 0.33,2.34 +/- 1.21,3.11 +/- 0.44,0.98 +/- 0.11,-1.91 +/- 1.19
13,UBFC-rPPG_PhysFormer,5,2.22 +/- 0.42,2.41 +/- 1.4,3.15 +/- 0.56,0.98 +/- 0.13,1.46 +/- 0.42
14,PURE_PhysFormer,5,2.57 +/- 0.88,3.24 +/- 2.56,3.53 +/- 1.04,0.96 +/- 0.16,2.13 +/- 1.02
15,BP4D_PseudoLabel_PhysNet,5,2.66 +/- 0.85,3.27 +/- 2.55,3.64 +/- 0.99,0.96 +/- 0.16,3.72 +/- 0.89
16,BigSmall (BP4D_BigSmall_Multitask_Fold1),5,2.66 +/- 0.85,3.27 +/- 2.55,3.64 +/- 0.99,0.96 +/- 0.16,2.25 +/- 0.93
17,SCAMPS_FactorizePhys,5,2.66 +/- 0.95,3.41 +/- 2.75,3.63 +/- 1.12,0.95 +/- 0.17,2.48 +/- 0.81
18,MA-UBFC_physnet,5,2.66 +/- 0.85,3.27 +/- 2.55,3.64 +/- 0.99,0.96 +/- 0.16,-1.09 +/- 0.41
19,UBFC-rPPG_EfficientPhys,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,1.92 +/- 1.39
20,MA-UBFC_deepphys,5,2.66 +/- 0.95,3.41 +/- 2.75,3.63 +/- 1.12,0.95 +/- 0.17,0.99 +/- 0.98
21,BP4D_PseudoLabel_EfficientPhys,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,4.2 +/- 1.52
22,MA-UBFC_efficientphys,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,4.15 +/- 1.25
23,MA-UBFC_tscan,5,2.66 +/- 0.95,3.41 +/- 2.75,3.63 +/- 1.12,0.95 +/- 0.17,0.7 +/- 0.97
24,UBFC-rPPG_DeepPhys,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,1.27 +/- 1.05
25,UBFC-rPPG_TSCAN,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,0.88 +/- 1.08
26,iBVP_EfficientPhys,5,2.75 +/- 0.92,3.44 +/- 2.74,3.74 +/- 1.08,0.96 +/- 0.17,0.82 +/- 1.53
27,BP4D_PseudoLabel_DeepPhys,5,4.88 +/- 2.0,6.62 +/- 5.27,7.21 +/- 3.2,0.72 +/- 0.4,-1.85 +/- 1.09
28,BP4D_PseudoLabel_TSCAN,5,9.34 +/- 3.42,12.07 +/- 9.75,12.5 +/- 4.08,0.47 +/- 0.51,-2.69 +/- 1.58
29,PURE_DeepPhys,5,9.95 +/- 4.11,13.54 +/- 10.44,13.78 +/- 5.43,0.51 +/- 0.5,-2.53 +/- 1.43
30,SCAMPS_TSCAN,5,20.71 +/- 17.06,43.41 +/- 41.02,25.34 +/- 20.41,0.75 +/- 0.38,-1.55 +/- 0.86
31,PURE_RhythmFormer,5,12.68 +/- 3.25,14.61 +/- 9.96,16.92 +/- 3.6,0.12 +/- 0.57,-3.5 +/- 1.24
32,SCAMPS_PhysFormer,5,77.05 +/- 3.1,77.36 +/- 22.43,109.62 +/- 6.96,0.82 +/- 0.33,-5.32 +/- 0.64
33,SCAMPS_PhysNet,5,32.57 +/- 7.31,36.45 +/- 20.89,49.18 +/- 12.65,-0.73 +/- 0.39,-7.92 +/- 0.74
34,SCAMPS_EfficientPhys,5,104.47 +/- 7.3,105.73 +/- 37.64,151.51 +/- 17.73,-0.64 +/- 0.44,-6.87 +/- 0.43
