rank,model,n_subjects,MAE (bpm),RMSE (bpm),MAPE (%),Pearson,SNR (dB)
1,iBVP_FactorizePhys,5,1.88 +/- 0.59,2.29 +/- 1.41,2.54 +/- 0.83,0.99 +/- 0.08,4.18 +/- 1.3
2,UBFC-rPPG_FactorizePhys,5,1.88 +/- 0.59,2.29 +/- 1.41,2.54 +/- 0.83,0.99 +/- 0.08,3.0 +/- 1.25
3,PURE_FactorizePhys,5,1.88 +/- 0.59,2.29 +/- 1.41,2.54 +/- 0.83,0.99 +/- 0.08,3.31 +/- 1.4
4,MA-UBFC_efficientphys,5,1.88 +/- 0.59,2.29 +/- 1.41,2.54 +/- 0.83,0.99 +/- 0.08,1.85 +/- 1.62
5,BP4D_PseudoLabel_PhysNet,5,2.88 +/- 0.67,3.25 +/- 1.97,3.69 +/- 0.81,0.98 +/- 0.1,2.9 +/- 1.92
6,BigSmall (BP4D_BigSmall_Multitask_Fold1),5,2.88 +/- 0.67,3.25 +/- 1.97,3.69 +/- 0.81,0.98 +/- 0.1,0.93 +/- 1.57
7,UBFC-rPPG_PhysFormer,5,2.77 +/- 0.77,3.26 +/- 2.21,3.56 +/- 0.92,0.95 +/- 0.18,1.24 +/- 1.39
8,UBFC-rPPG_PhysNet,5,2.84 +/- 0.65,3.19 +/- 1.9,3.65 +/- 0.79,0.93 +/- 0.21,1.23 +/- 1.56
9,SCAMPS_FactorizePhys,5,3.14 +/- 0.86,3.69 +/- 2.55,4.0 +/- 1.0,0.98 +/- 0.12,1.46 +/- 1.54
10,UBFC-rPPG_EfficientPhys,5,3.14 +/- 0.86,3.69 +/- 2.55,4.0 +/- 1.0,0.98 +/- 0.12,1.47 +/- 1.74
11,UBFC-rPPG_TSCAN,5,3.14 +/- 0.86,3.69 +/- 2.55,4.0 +/- 1.0,0.98 +/- 0.12,1.94 +/- 1.57
12,UBFC-rPPG_RhythmFormer,5,4.42 +/- 2.33,6.84 +/- 6.12,5.36 +/- 2.64,0.6 +/- 0.46,2.53 +/- 2.14
13,iBVP_EfficientPhys,5,3.4 +/- 0.84,3.88 +/- 2.72,4.31 +/- 0.94,0.96 +/- 0.16,-0.87 +/- 1.35
14,MA-UBFC_physnet,5,4.2 +/- 1.74,5.73 +/- 4.85,5.21 +/- 1.95,0.94 +/- 0.19,0.66 +/- 1.88
15,UBFC-rPPG_PhysMamba,5,4.14 +/- 2.11,6.28 +/- 5.63,5.71 +/- 3.11,0.68 +/- 0.42,-1.39 +/- 1.96
16,PURE_EfficientPhys,5,7.14 +/- 4.25,11.88 +/- 10.97,8.6 +/- 4.8,0.12 +/- 0.57,1.13 +/- 2.02
17,BP4D_PseudoLabel_EfficientPhys,5,7.13 +/- 5.04,13.34 +/- 12.48,8.43 +/- 5.74,-0.0 +/- 0.58,1.21 +/- 2.04
18,PURE_PhysMamba,5,6.36 +/- 4.33,11.59 +/- 10.8,7.5 +/- 4.94,0.2 +/- 0.57,-1.38 +/- 1.94
19,PURE_iBVPNet,5,7.57 +/- 4.94,13.39 +/- 12.47,9.07 +/- 5.6,-0.06 +/- 0.58,1.9 +/- 1.66
20,MA-UBFC_deepphys,5,7.15 +/- 4.85,12.98 +/- 12.1,8.46 +/- 5.52,0.1 +/- 0.57,0.03 +/- 1.87
21,MA-UBFC_tscan,5,7.65 +/- 5.02,13.58 +/- 12.66,9.17 +/- 5.69,-0.07 +/- 0.58,0.61 +/- 1.8
22,PURE_DeepPhys,5,8.45 +/- 4.61,13.32 +/- 11.6,10.39 +/- 5.34,0.36 +/- 0.54,-2.79 +/- 1.93
23,PURE_PhysNet,5,7.5 +/- 5.26,13.96 +/- 13.03,8.99 +/- 5.98,-0.05 +/- 0.58,-2.23 +/- 1.24
24,PURE_PhysFormer,5,14.11 +/- 10.78,27.93 +/- 26.32,16.58 +/- 12.29,0.7 +/- 0.41,-0.17 +/- 1.92
25,PURE_TSCAN,5,12.09 +/- 4.94,16.37 +/- 12.27,15.58 +/- 6.03,0.55 +/- 0.48,-2.5 +/- 1.97
26,SCAMPS_DeepPhys,5,10.05 +/- 7.43,19.42 +/- 18.25,11.79 +/- 8.48,-0.15 +/- 0.57,0.03 +/- 1.86
27,UBFC-rPPG_DeepPhys,5,10.58 +/- 7.41,19.65 +/- 18.42,12.53 +/- 8.42,-0.19 +/- 0.57,0.14 +/- 2.42
28,BP4D_PseudoLabel_DeepPhys,5,14.99 +/- 5.45,19.32 +/- 13.54,19.57 +/- 6.71,0.59 +/- 0.47,-3.29 +/- 2.38
29,BP4D_PseudoLabel_TSCAN,5,17.26 +/- 4.83,20.36 +/- 12.55,21.66 +/- 5.48,0.25 +/- 0.56,-4.34 +/- 1.65
30,SCAMPS_TSCAN,5,49.53 +/- 17.5,63.11 +/- 39.41,63.51 +/- 22.4,0.29 +/- 0.55,-1.43 +/- 1.33
31,PURE_RhythmFormer,5,12.6 +/- 6.41,19.08 +/- 14.12,14.72 +/- 7.37,-0.47 +/- 0.51,-4.47 +/- 1.36
32,SCAMPS_EfficientPhys,5,89.63 +/- 6.33,90.74 +/- 33.77,116.33 +/- 10.92,0.4 +/- 0.53,-8.24 +/- 1.29
33,SCAMPS_PhysNet,5,43.48 +/- 11.35,50.35 +/- 31.78,58.45 +/- 16.37,-0.42 +/- 0.52,-7.29 +/- 0.33
34,SCAMPS_PhysFormer,5,59.22 +/- 12.6,65.58 +/- 32.37,79.18 +/- 18.25,-0.46 +/- 0.51,-7.3 +/- 0.56
