rank,model,n_subjects,MAE (bpm),RMSE (bpm),MAPE (%),Pearson,SNR (dB)
1,SCAMPS_FactorizePhys,4,0.94 +/- 0.52,1.4 +/- 1.2,1.24 +/- 0.64,0.99 +/- 0.11,3.81 +/- 0.62
2,BigSmall (BP4D_BigSmall_Multitask_Fold1),4,1.05 +/- 0.63,1.63 +/- 1.45,1.57 +/- 1.01,1.0 +/- 0.06,2.24 +/- 0.78
3,iBVP_FactorizePhys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,7.82 +/- 0.93
4,UBFC-rPPG_FactorizePhys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,6.61 +/- 0.85
5,PURE_FactorizePhys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,7.19 +/- 0.79
6,UBFC-rPPG_DeepPhys,4,1.19 +/- 0.69,1.82 +/- 1.61,1.56 +/- 0.85,0.98 +/- 0.14,2.64 +/- 0.55
7,PURE_EfficientPhys,4,1.16 +/- 0.7,1.81 +/- 1.61,1.52 +/- 0.86,0.98 +/- 0.15,2.63 +/- 0.31
8,BP4D_PseudoLabel_PhysNet,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,5.23 +/- 0.8
9,PURE_PhysFormer,4,1.16 +/- 0.7,1.81 +/- 1.61,1.52 +/- 0.86,0.98 +/- 0.15,1.94 +/- 0.64
10,PURE_TSCAN,4,1.48 +/- 0.43,1.71 +/- 1.04,2.06 +/- 0.64,0.99 +/- 0.09,-2.9 +/- 0.65
11,MA-UBFC_efficientphys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,5.02 +/- 0.52
12,BP4D_PseudoLabel_EfficientPhys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,5.45 +/- 0.8
13,PURE_PhysMamba,4,1.41 +/- 0.7,1.98 +/- 1.58,1.91 +/- 0.89,0.98 +/- 0.14,0.08 +/- 0.86
14,iBVP_EfficientPhys,4,1.48 +/- 0.71,2.05 +/- 1.47,2.12 +/- 1.05,0.99 +/- 0.12,1.82 +/- 0.9
15,MA-UBFC_tscan,4,1.51 +/- 0.69,2.05 +/- 1.47,2.16 +/- 1.03,0.99 +/- 0.11,1.13 +/- 0.22
16,UBFC-rPPG_EfficientPhys,4,1.59 +/- 0.75,2.2 +/- 1.55,2.25 +/- 1.09,0.98 +/- 0.13,3.61 +/- 0.51
17,PURE_PhysNet,4,1.62 +/- 0.65,2.08 +/- 1.55,2.14 +/- 0.79,0.98 +/- 0.13,-0.39 +/- 0.7
18,PURE_iBVPNet,4,1.7 +/- 0.81,2.35 +/- 1.67,2.39 +/- 1.14,0.98 +/- 0.15,5.9 +/- 0.82
19,UBFC-rPPG_RhythmFormer,4,1.7 +/- 0.81,2.35 +/- 1.67,2.39 +/- 1.14,0.98 +/- 0.15,5.21 +/- 0.88
20,MA-UBFC_deepphys,4,2.06 +/- 0.63,2.42 +/- 1.42,2.87 +/- 0.92,0.99 +/- 0.11,2.38 +/- 0.38
21,UBFC-rPPG_TSCAN,4,1.73 +/- 0.8,2.36 +/- 1.67,2.43 +/- 1.13,0.98 +/- 0.14,2.57 +/- 0.21
22,SCAMPS_DeepPhys,4,1.81 +/- 0.58,2.15 +/- 1.41,2.53 +/- 0.89,0.98 +/- 0.14,2.08 +/- 1.11
23,UBFC-rPPG_PhysMamba,4,1.73 +/- 0.8,2.36 +/- 1.67,2.43 +/- 1.13,0.98 +/- 0.14,1.53 +/- 0.84
24,BP4D_PseudoLabel_DeepPhys,4,1.7 +/- 0.81,2.36 +/- 1.69,2.43 +/- 1.21,0.98 +/- 0.13,-1.6 +/- 0.79
25,UBFC-rPPG_PhysFormer,4,2.26 +/- 0.82,2.79 +/- 1.96,3.08 +/- 1.11,0.99 +/- 0.07,1.44 +/- 0.47
26,UBFC-rPPG_PhysNet,4,1.7 +/- 0.81,2.35 +/- 1.67,2.39 +/- 1.14,0.98 +/- 0.15,-0.42 +/- 0.6
27,SCAMPS_TSCAN,4,1.73 +/- 0.8,2.36 +/- 1.67,2.43 +/- 1.13,0.98 +/- 0.14,-0.8 +/- 0.63
28,PURE_DeepPhys,4,1.95 +/- 0.62,2.31 +/- 1.5,2.48 +/- 0.78,0.96 +/- 0.21,-3.39 +/- 1.26
29,MA-UBFC_physnet,4,2.06 +/- 0.66,2.45 +/- 1.61,2.84 +/- 0.95,0.97 +/- 0.17,0.37 +/- 0.74
30,BP4D_PseudoLabel_TSCAN,4,11.51 +/- 4.19,14.24 +/- 9.79,15.26 +/- 5.27,0.52 +/- 0.6,-3.42 +/- 1.17
31,PURE_RhythmFormer,4,15.47 +/- 3.05,16.62 +/- 9.45,20.31 +/- 3.61,0.52 +/- 0.6,-5.4 +/- 0.33
32,SCAMPS_PhysFormer,4,71.32 +/- 8.16,73.17 +/- 34.94,98.26 +/- 16.08,-0.39 +/- 0.65,-5.51 +/- 0.73
33,SCAMPS_PhysNet,4,33.31 +/- 6.05,35.44 +/- 20.07,46.58 +/- 10.7,-0.58 +/- 0.58,-6.24 +/- 0.45
34,SCAMPS_EfficientPhys,4,100.11 +/- 7.21,101.14 +/- 37.26,137.15 +/- 16.22,-0.52 +/- 0.6,-6.22 +/- 0.9
