rank,model,n_subjects,MAE (bpm),RMSE (bpm),MAPE (%),Pearson,SNR (dB)
1,PURE_PhysMamba,5,0.31 +/- 0.09,0.37 +/- 0.25,0.42 +/- 0.13,1.00 +/- 0.01,-0.43 +/- 1.05
2,iBVP_FactorizePhys,5,0.69 +/- 0.17,0.79 +/- 0.45,0.89 +/- 0.21,1.00 +/- 0.03,3.76 +/- 1.06
3,MA-UBFC_tscan,5,0.57 +/- 0.17,0.68 +/- 0.45,0.75 +/- 0.22,1.00 +/- 0.04,-0.50 +/- 0.73
4,MA-UBFC_physnet,5,0.63 +/- 0.25,0.84 +/- 0.69,0.82 +/- 0.31,1.00 +/- 0.05,0.67 +/- 0.79
5,SCAMPS_DeepPhys,5,0.69 +/- 0.19,0.82 +/- 0.55,0.89 +/- 0.23,1.00 +/- 0.04,-0.70 +/- 1.03
6,UBFC-rPPG_EfficientPhys,5,0.66 +/- 0.24,0.85 +/- 0.69,0.82 +/- 0.27,1.00 +/- 0.04,-1.56 +/- 1.18
7,UBFC-rPPG_FactorizePhys,5,1.01 +/- 0.52,1.54 +/- 1.36,1.35 +/- 0.70,0.99 +/- 0.09,2.05 +/- 0.97
8,MA-UBFC_efficientphys,5,1.01 +/- 0.52,1.54 +/- 1.36,1.35 +/- 0.70,0.99 +/- 0.09,0.98 +/- 1.29
9,UBFC-rPPG_PhysNet,5,0.85 +/- 0.25,1.02 +/- 0.67,1.09 +/- 0.31,0.99 +/- 0.08,-1.81 +/- 0.80
10,PURE_FactorizePhys,5,1.13 +/- 0.50,1.59 +/- 1.35,1.48 +/- 0.68,0.99 +/- 0.09,2.83 +/- 0.88
11,BP4D_PseudoLabel_EfficientPhys,5,1.07 +/- 0.50,1.55 +/- 1.36,1.41 +/- 0.68,0.99 +/- 0.09,0.61 +/- 1.24
12,MA-UBFC_deepphys,5,1.16 +/- 0.48,1.58 +/- 1.35,1.54 +/- 0.66,0.99 +/- 0.09,-0.80 +/- 0.73
13,UBFC-rPPG_TSCAN,5,1.04 +/- 0.58,1.66 +/- 1.51,1.26 +/- 0.64,0.99 +/- 0.08,-2.14 +/- 0.83
14,UBFC-rPPG_RhythmFormer,5,1.19 +/- 0.50,1.63 +/- 1.34,1.55 +/- 0.67,0.99 +/- 0.09,0.92 +/- 1.33
15,PURE_iBVPNet,5,1.54 +/- 0.69,2.18 +/- 1.60,2.00 +/- 0.89,0.98 +/- 0.13,1.70 +/- 1.33
16,PURE_PhysNet,5,1.36 +/- 0.69,2.06 +/- 1.80,1.75 +/- 0.89,0.98 +/- 0.12,-1.29 +/- 0.93
17,SCAMPS_FactorizePhys,5,1.66 +/- 0.66,2.22 +/- 1.59,2.14 +/- 0.85,0.98 +/- 0.12,-0.32 +/- 0.73
18,PURE_TSCAN,5,1.19 +/- 0.47,1.59 +/- 1.29,1.51 +/- 0.57,0.98 +/- 0.10,-4.03 +/- 0.72
19,BP4D_PseudoLabel_PhysNet,5,1.48 +/- 0.65,2.08 +/- 1.79,1.91 +/- 0.85,0.98 +/- 0.13,-1.99 +/- 0.82
20,BigSmall (BP4D_BigSmall_Multitask_Fold1),5,2.24 +/- 0.94,3.07 +/- 2.30,2.91 +/- 1.25,0.96 +/- 0.16,-1.23 +/- 1.20
22,PURE_EfficientPhys,5,2.48 +/- 1.73,4.59 +/- 4.30,3.12 +/- 2.14,0.87 +/- 0.29,-1.27 +/- 1.14
23,PURE_PhysFormer,5,2.83 +/- 1.15,3.82 +/- 2.88,3.51 +/- 1.35,0.97 +/- 0.15,-2.85 +/- 0.95
24,UBFC-rPPG_PhysMamba,5,3.83 +/- 3.09,7.91 +/- 7.47,4.42 +/- 3.50,0.44 +/- 0.52,-0.06 +/- 0.98
25,iBVP_EfficientPhys,5,3.07 +/- 1.68,4.86 +/- 4.25,3.64 +/- 1.90,0.90 +/- 0.26,-2.55 +/- 1.12
26,BP4D_PseudoLabel_DeepPhys,5,3.97 +/- 2.96,7.72 +/- 7.27,5.00 +/- 3.67,0.69 +/- 0.42,-3.46 +/- 1.25
27,UBFC-rPPG_PhysFormer,5,4.34 +/- 2.88,7.76 +/- 7.19,5.46 +/- 3.56,0.79 +/- 0.35,-3.86 +/- 0.74
28,UBFC-rPPG_DeepPhys,5,5.94 +/- 4.32,11.34 +/- 10.61,6.94 +/- 4.88,0.04 +/- 0.58,-2.42 +/- 0.92
29,PURE_DeepPhys,5,10.27 +/- 4.24,13.97 +/- 10.28,13.15 +/- 5.22,0.41 +/- 0.53,-4.23 +/- 0.77
30,PURE_RhythmFormer,5,18.42 +/- 2.26,19.10 +/- 8.59,23.61 +/- 2.40,0.74 +/- 0.39,-6.04 +/- 1.25
31,BP4D_PseudoLabel_TSCAN,5,11.38 +/- 4.74,15.55 +/- 12.31,14.04 +/- 5.32,-0.04 +/- 0.58,-4.67 +/- 1.01
32,SCAMPS_TSCAN,5,35.20 +/- 19.41,55.89 +/- 43.52,43.52 +/- 24.50,0.58 +/- 0.47,-3.06 +/- 0.58
33,SCAMPS_PhysNet,5,30.28 +/- 2.80,30.92 +/- 13.04,40.49 +/- 5.44,0.64 +/- 0.44,-8.02 +/- 0.61
34,SCAMPS_PhysFormer,5,65.70 +/- 7.93,68.04 +/- 32.90,88.00 +/- 13.95,-0.51 +/- 0.50,-5.31 +/- 0.69
35,SCAMPS_EfficientPhys,5,94.44 +/- 7.73,96.01 +/- 37.68,125.93 +/- 15.24,-0.80 +/- 0.35,-6.41 +/- 0.46
